"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene_ID"
"266500_at"	0.737754140223511	6.81722976501948	7.22314720661287	4.46991924750693e-05	0.0124340070775162	2.56435026534674	"AT2G06925"
"250604_at"	0.649299476118397	8.04366922368305	7.2047113088184	4.56136557108885e-05	0.0125355118887393	2.5451924389913	"AT5G07830"
"245524_at"	1.17738278146558	7.51541321714877	7.18300138404499	4.67167998117967e-05	0.0126279437592066	2.52257407634894	"AT4G15920"
"252425_at"	0.608662375799821	6.92140373790335	7.17641473565124	4.70572213736325e-05	0.0126279437592066	2.51569932088976	"AT3G47620"
"250892_at"	-1.0438220618686	8.95299627587839	-7.14127039358233	4.89199951488141e-05	0.0128260355097063	2.47891915050598	"AT5G03760"
"259596_at"	0.688260233549126	9.19446755513825	7.1480532516546	4.85543022160202e-05	0.0128260355097063	2.48603067314134	"AT1G28130"
"245202_at"	0.66077122741622	5.64075284940616	7.1229219555777	4.99243940279122e-05	0.0129406298610986	2.45965052335989	"AT1G67720"
"249059_at"	0.998744303164818	7.39416362955502	7.06742719031833	5.31017283036224e-05	0.01320974615964	2.40109519964516	"AT5G44530"
"252224_at"	0.693105194630459	7.21509079693017	7.07116729039419	5.28807946754293e-05	0.01320974615964	2.40505471265934	"AT3G49860"
"255957_at"	0.720344019302873	4.56971131259913	7.06443652594174	5.32791164702711e-05	0.01320974615964	2.39792771759249	"AT1G22160"
"256774_at"	1.17757884764533	6.69587160108759	7.08997025543045	5.17851687528793e-05	0.01320974615964	2.42493192809114	"AT3G13760"
"258646_at"	0.982787360580076	8.15172970598485	7.02702838770034	5.55534312923068e-05	0.0136255243847045	2.35820481440923	"AT3G08040"
"257959_at"	0.972071028624822	6.32695405330604	6.94644014201443	6.08213878236454e-05	0.0144514151693474	2.27197797600961	"AT3G25560"
"258609_at"	0.755074963357839	9.40551528578053	6.96350181709785	5.96621958525348e-05	0.0144514151693474	2.29030804169158	"AT3G02910"
"266812_at"	0.828319705417727	5.47562669039841	6.94947203523092	6.06136149889115e-05	0.0144514151693474	2.27523820272754	"AT2G44830"
"245126_at"	0.763995807689297	8.64310537203256	6.90653673750007	6.36295519871693e-05	0.0149627843384261	2.22895081018665	"AT2G47460"
"248337_at"	-0.963046732986001	9.50930353088826	-6.88854484729046	6.49417044262069e-05	0.0151155130404263	2.20947816124752	"AT5G52310"
"247540_at"	1.50214997152512	5.58037068729993	6.84404025503489	6.83159668303109e-05	0.015740274781812	2.1611169130975	"AT5G61590"
"248104_at"	0.777304119996112	6.30426342836813	6.82388613181912	6.99065027703125e-05	0.0159456732819083	2.13912514809916	"AT5G55250"
"245245_at"	0.809281165129621	4.8954778808505	6.78175983747925	7.33630137138406e-05	0.0165684192357694	2.09297351928715	"AT1G44318"
"254344_at"	-0.601778984512659	7.90982593040928	-6.74120510206518	7.68672208324164e-05	0.0170227311377419	2.04830712423037	"AT4G22110"
"258845_at"	-0.805765948090655	9.40037086297323	-6.74317246163532	7.66930809142188e-05	0.0170227311377419	2.0504793169593	"AT3G03150"
"264562_at"	0.923089335534476	6.32710167060399	6.73109112539238	7.77692828103256e-05	0.0170568975086878	2.03713145985226	"AT1G55760"
"248756_at"	0.869231096243672	5.86363310432808	6.70927126925564	7.97549276024131e-05	0.0171433362696961	2.01297165428905	"AT5G47560"
"258209_at"	0.856353160546507	5.06657451936408	6.71791409521879	7.89618846074661e-05	0.0171433362696961	2.02254942491542	"AT3G14060"
"259831_at"	-0.765763139659594	6.87582117369652	-6.69919076097479	8.06908692711134e-05	0.0171433362696961	2.00178725026201	"AT1G69600"
"264892_at"	0.79924600230857	3.50002619872058	6.69408293564089	8.11696763317483e-05	0.0171433362696961	1.99611455265337	"AT1G23160"
"257698_at"	0.645327417838195	4.4529077752183	6.66143541770248	8.43041369891173e-05	0.0176419941717593	1.95976861426588	"AT3G12730"
"257719_at"	0.594884966200172	7.71028761890633	6.64623513931177	8.58082825171612e-05	0.0177935174928768	1.94279439892589	"AT3G18440"
"252340_at"	0.695663322794875	8.546586574556	6.60551291776208	8.99839438442969e-05	0.0183261942775751	1.8971563491331	"AT3G48920"
"267591_at"	-0.877509661781105	7.01681864235913	-6.6075015541102	8.97749681329197e-05	0.0183261942775751	1.89939058326636	"AT2G39705"
"245990_at"	1.13998734274265	5.079969795193	6.56623476116058	9.42219476837235e-05	0.0186887184927455	1.85291043891596	"AT5G20640"
"247005_at"	-0.732673487230187	5.83779875647024	-6.56649859659023	9.41927657936558e-05	0.0186887184927455	1.85320838663743	"AT5G67520"
"264901_at"	0.628560385146095	4.46740038593039	6.57188297898365	9.35993630815841e-05	0.0186887184927455	1.85928673729807	"AT1G23090"
"263318_at"	1.5428949377938	8.53629567489391	6.55001439191464	9.60350692126942e-05	0.0188841373167375	1.83457352577526	"AT2G24762"
"256128_at"	-0.565779928463702	9.57971754650873	-6.51837949960211	9.96814855507676e-05	0.0194336297898548	1.79870093999735	"AT1G18140"
"246205_at"	0.645377239880204	6.62823158628499	6.47926233571661	0.000104400167232249	0.019614882392088	1.75414248384076	"AT4G36970"
"251162_at"	0.704078707857367	5.73687110357074	6.48277368132845	0.00010396681978971	0.019614882392088	1.7581513822262	"AT3G63300"
"251644_at"	1.11673796015442	5.95625162575876	6.47514495243863	0.000104910813320243	0.019614882392088	1.74943937920293	"AT3G57540"
"259502_at"	0.630454586282346	9.39828767856388	6.49981019283607	0.000101891890507054	0.019614882392088	1.77757640154714	"AT1G15670"
"263656_at"	-0.504070279120112	7.58515829540612	-6.49367690651744	0.000102633643830301	0.019614882392088	1.7705881092135	"AT1G04240"
"260345_at"	0.680189752076814	6.18322610202859	6.46093425232931	0.000106694238989759	0.0197861430191578	1.733188089522	"AT1G69270"
"252606_at"	0.491918342246539	9.78823932725039	6.3318776262843	0.000124487691007282	0.0228997115473879	1.58424101782964	"AT3G45010"
"254064_at"	-1.09169519724498	5.54674251381729	-6.31679793605742	0.0001267688979497	0.0231327884978612	1.5666766247887	"AT4G25410"
