,Ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_symbol
151,AT1G49980,371.610566298324,-1.18173967726418,0.141333311510158,-8.36136693209262,6.19956965213691e-17,8.45974388624377e-15,
152,AT3G15680,206.756707374551,1.43623460250601,0.172355524404223,8.33297689453589,7.88345518360191e-17,1.06867496090867e-14,
153,AT4G34320,44.9823668099973,-3.71047640384614,0.445368986196683,-8.33124110309632,7.99992208269462e-17,1.07737512754198e-14,
154,AT1G78080,1625.53566398448,-0.69462221921006,0.0835172135641471,-8.31711439554363,9.0130751276969e-17,1.20593774679347e-14,RAP2.4
155,AT2G30140,176.377344041977,-1.44142417387099,0.173485430487424,-8.30861801951421,9.68230492571792e-17,1.28712189028657e-14,
156,AT2G24980,332.794080573503,-1.64837885049522,0.198486722135917,-8.30473108103654,1.00045778627818e-16,1.32143799270909e-14,
157,AT1G07790,1783.84221799294,0.789288963359683,0.0951324332551761,8.29673893910139,1.07008174845863e-16,1.40439709726051e-14,HTB1
158,AT5G64260,339.355349003953,-1.18334700694794,0.143077752401878,-8.27065694758854,1.33222871163939e-16,1.73737801286896e-14,EXL2
159,AT4G18510,85.8287883477653,-2.12219408744828,0.256708180975572,-8.26695152208735,1.37427810832299e-16,1.78094342276699e-14,CLE2
160,AT5G20230,41.5306772376426,-4.89273261159843,0.592544039467355,-8.25716281948691,1.49175871095035e-16,1.92110551494575e-14,ATBCB
161,AT1G01470,381.510729947021,-1.39653785716745,0.170052582743865,-8.21238839559955,2.16831566485441e-16,2.77504001703882e-14,LEA14
162,AT5G14420,579.394372421057,-0.857918913847562,0.104563791296754,-8.20474184426588,2.31086895910034e-16,2.93922561125078e-14,RGLG2
163,AT5G19550,2476.23803302942,-0.611597240702857,0.0745770976829387,-8.20087211362175,2.38649307538723e-16,3.01679078640208e-14,ASP2
164,AT5G46590,58.4256994964146,-2.77667307344086,0.33871512437259,-8.1976648624243,2.45101537514529e-16,3.07946169541883e-14,anac096
165,AT4G19130,252.688607164539,-1.32535955214899,0.161743555075609,-8.19420317260511,2.52258657975398e-16,3.15017554398974e-14,
166,AT1G21270,45.29727060211,-5.45227070981011,0.665797260144792,-8.18908553126877,2.6321843831011e-16,3.26723850685531e-14,WAK2
167,AT3G27620,42.7965394199951,-3.87919683846047,0.474406315418606,-8.17695024788519,2.91118141542777e-16,3.59190976436463e-14,AOX1C
168,AT2G30250,148.726949810073,-1.7910841921322,0.219514724914632,-8.15928950929711,3.37001009102822e-16,4.13327725747836e-14,WRKY25
169,AT4G31000,336.23693070322,-1.06092386254543,0.130486179673095,-8.13054581874754,4.27361729385427e-16,5.21052570058386e-14,
170,AT5G18270,333.465291524205,-1.28985917768319,0.15884183013518,-8.12039987568431,4.64650169177638e-16,5.6318333740619e-14,ANAC087
171,AT2G18720,43.2190819270271,-4.30256534893986,0.530300272457432,-8.11345113778954,4.92019847830813e-16,5.92869530090871e-14,
172,AT2G23320,410.394936756504,-1.05221646980642,0.131250505870456,-8.01685649002338,1.0848574728e-15,1.29962140854907e-13,WRKY15
173,AT1G21520,51.6414208761958,-2.90466496108053,0.362563149623986,-8.01147321257816,1.13342424676762e-15,1.34995413899692e-13,
174,AT1G02520,1999.50459741453,-0.952665245421858,0.119205481498547,-7.99179059088376,1.32992803904174e-15,1.57489466922155e-13,PGP11
175,AT2G23170,44.6070751678406,-5.68860763805616,0.712180534327505,-7.98759213972028,1.37599807787553e-15,1.62013945112144e-13,GH3.3
176,AT1G73680,144.248801033162,-1.58107307185904,0.198721580021071,-7.95622232719462,1.77371557646828e-15,2.07655735529141e-13,ALPHA DOX2
177,AT4G36620,226.765032785318,-1.21353146836077,0.153460727260144,-7.90776565462003,2.62049509045224e-15,3.05058199654059e-13,GATA19
178,AT3G45980,3333.18917378143,0.607840057882088,0.0769630243852636,7.89781928058525,2.83825258238535e-15,3.28551654269944e-13,H2B
179,AT2G22430,758.561425660228,-0.921137617420541,0.116653412250957,-7.89636239220239,2.87160971252636e-15,3.30555967187741e-13,ATHB6
180,AT4G04620,116.201864171411,-2.07044267414645,0.262655515916071,-7.88273060600045,3.20303138573565e-15,3.66658120572684e-13,ATG8B
181,AT5G14490,44.1658018523453,-5.67105855604591,0.722597922293863,-7.84815231414356,4.22211254081798e-15,4.80644358583173e-13,anac085
182,AT2G28000,3210.51840310188,0.659889698813831,0.085164346466898,7.74842673242751,9.30380264228652e-15,1.05332337057315e-12,CPN60A
183,AT2G25790,247.317393062764,-1.2092367734039,0.156576219715092,-7.7229912409703,1.1363098521626e-14,1.27943521878745e-12,
184,AT5G62330,372.474772153337,1.1506536573356,0.15003447416526,7.66926177291879,1.72989069834924e-14,1.93719553475467e-12,
185,AT1G79610,440.205335925153,-0.972610235958375,0.127095346847963,-7.65260302662261,1.96951198102395e-14,2.19361050643235e-12,ATNHX6
186,AT1G27730,128.97827406675,-2.00373272126092,0.262612683414954,-7.62999218166024,2.34767949396598e-14,2.6007492458693e-12,STZ
187,AT3G29410,90.1303358514688,-2.0277879288887,0.265887962890787,-7.62647510192707,2.41259497957686e-14,2.65837002963536e-12,
188,AT5G15540,1029.59938546925,-0.766503047403238,0.100723659965937,-7.6099602383636,2.74180259489833e-14,3.00504481212128e-12,EMB2773
189,AT4G25630,7231.43510492942,0.651197460400262,0.085697995138505,7.59874789775184,2.99009626817186e-14,3.25983775691435e-12,FIB2
190,AT1G05250,1317.50862773577,-1.07931708958458,0.143092279160386,-7.54280451690073,4.59970403870054e-14,4.98825798512761e-12,
191,AT1G08270,162.896970479221,-1.59929387374258,0.212268800696888,-7.53428609617627,4.91013670932802e-14,5.29703491600544e-12,
192,AT5G65750,1109.80408640347,-0.697908232843443,0.0928872072914983,-7.51350216239433,5.75661915460033e-14,6.17787175419478e-12,
